family,alignment,condition,task,axis,relative_depth,c_net_rand
olmo,instruct,inst_native_chat_reader,reader,arousal,0.3333333333333333,3.0062702676605824e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.4,-1.7262978546431105e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.4666666666666667,-1.8840884510895606e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.5333333333333333,3.9687039110933855e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.6,4.688293216268935e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.6666666666666666,4.8903816868064e-05
olmo,instruct,inst_native_chat_reader,reader,arousal,0.7333333333333333,-2.53216824462843e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.8,5.7052002584283555e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.8666666666666667,-1.101593279064339e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,0.9333333333333333,9.022832272664871e-06
olmo,instruct,inst_native_chat_reader,reader,arousal,1.0,-3.6415315207705136e-17
olmo,instruct,inst_native_reader,reader,valence,0.0,-7.761362745282074e-05
olmo,instruct,inst_native_reader,reader,valence,0.06666666666666667,9.485148826139333e-05
olmo,instruct,inst_native_reader,reader,valence,0.13333333333333333,-0.00016141389160090824
olmo,instruct,inst_native_reader,reader,valence,0.2,-0.00022078719003471736
olmo,instruct,inst_native_reader,reader,valence,0.26666666666666666,-0.0002179554160485493
olmo,instruct,inst_native_reader,reader,valence,0.3333333333333333,-0.00023810228606691995
olmo,instruct,inst_native_reader,reader,valence,0.4,-0.00011848165405945732
olmo,instruct,inst_native_reader,reader,valence,0.4666666666666667,4.770216149273665e-05
olmo,instruct,inst_native_reader,reader,valence,0.5333333333333333,4.265026413128137e-05
olmo,instruct,inst_native_reader,reader,valence,0.6,3.6041261170191243e-05
olmo,instruct,inst_native_reader,reader,valence,0.6666666666666666,-0.00019946669007124917
olmo,instruct,inst_native_reader,reader,valence,0.7333333333333333,1.9129825177776284e-05
olmo,instruct,inst_native_reader,reader,valence,0.8,-8.04835628085394e-05
olmo,instruct,inst_native_reader,reader,valence,0.8666666666666667,-0.00014774749154780853
olmo,instruct,inst_native_reader,reader,valence,0.9333333333333333,-1.277050647387945e-05
olmo,instruct,inst_native_reader,reader,valence,1.0,3.1974423109204506e-17
olmo,instruct,inst_native_reader,reader,arousal,0.0,-2.565328848247006e-05
olmo,instruct,inst_native_reader,reader,arousal,0.06666666666666667,-2.6614399672391543e-05
olmo,instruct,inst_native_reader,reader,arousal,0.13333333333333333,-5.745155314201611e-06
olmo,instruct,inst_native_reader,reader,arousal,0.2,9.844380733579073e-06
olmo,instruct,inst_native_reader,reader,arousal,0.26666666666666666,-7.000878590893045e-06
olmo,instruct,inst_native_reader,reader,arousal,0.3333333333333333,3.0062702676605824e-05
olmo,instruct,inst_native_reader,reader,arousal,0.4,-1.7262978546431105e-05
olmo,instruct,inst_native_reader,reader,arousal,0.4666666666666667,-1.8840884510895606e-06
olmo,instruct,inst_native_reader,reader,arousal,0.5333333333333333,3.9687039110933855e-06
olmo,instruct,inst_native_reader,reader,arousal,0.6,4.688293216268935e-05
olmo,instruct,inst_native_reader,reader,arousal,0.6666666666666666,4.8903816868064e-05
olmo,instruct,inst_native_reader,reader,arousal,0.7333333333333333,-2.53216824462843e-06
olmo,instruct,inst_native_reader,reader,arousal,0.8,5.7052002584283555e-06
olmo,instruct,inst_native_reader,reader,arousal,0.8666666666666667,-1.101593279064339e-06
olmo,instruct,inst_native_reader,reader,arousal,0.9333333333333333,9.022832272664871e-06
olmo,instruct,inst_native_reader,reader,arousal,1.0,-3.6415315207705136e-17
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.0,-7.761362745282074e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.06666666666666667,9.485148826139333e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.13333333333333333,-0.00016141389160090824
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.2,-0.00022078719003471736
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.26666666666666666,-0.0002179554160485493
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.3333333333333333,-0.00023810228606691995
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.4,-0.00011848165405945732
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.4666666666666667,4.770216149273665e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.5333333333333333,4.265026413128137e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.6,3.6041261170191243e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.6666666666666666,-0.00019946669007124917
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.7333333333333333,1.9129825177776284e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.8,-8.04835628085394e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.8666666666666667,-0.00014774749154780853
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,0.9333333333333333,-1.277050647387945e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,valence,1.0,3.1974423109204506e-17
olmo,instruct,deprecated_inst_reader_native_alias,reader,arousal,0.0,-2.565328848247006e-05
olmo,instruct,deprecated_inst_reader_native_alias,reader,arousal,0.06666666666666667,-2.6614399672391543e-05
