model,family,alignment,axis,relative_depth,direct_transfer,rsa,alignment_gain
qwen_base,qwen,base,valence,0.1111111111111111,0.0,0.9807641654611178,0.0125672874650667
qwen_base,qwen,base,arousal,0.1111111111111111,0.0,0.9807641654611178,0.0041076035735637
qwen_base,qwen,base,valence,0.1481481481481481,0.0,0.9776759158658944,0.0300977843156158
qwen_base,qwen,base,arousal,0.1481481481481481,0.0,0.9776759158658944,0.008495287783184
qwen_base,qwen,base,valence,0.1851851851851851,0.0,0.9611777237522404,0.0282414978205521
qwen_base,qwen,base,arousal,0.1851851851851851,0.0,0.9611777237522404,0.0202506684189254
qwen_base,qwen,base,valence,0.2222222222222222,0.0,0.9620034282928946,0.0486106474066705
qwen_base,qwen,base,arousal,0.2222222222222222,0.0,0.9620034282928946,0.0252035089678541
qwen_base,qwen,base,valence,0.2592592592592592,0.0,0.968672436719564,0.0229406863348603
qwen_base,qwen,base,arousal,0.2592592592592592,0.0,0.968672436719564,0.0083829497662017
qwen_base,qwen,base,valence,0.2962962962962963,0.0,0.9644785489910894,0.0383213260926639
qwen_base,qwen,base,arousal,0.2962962962962963,0.0,0.9644785489910894,0.0092564951067463
qwen_base,qwen,base,valence,0.3333333333333333,0.0,0.9622923415403074,0.0448961770954799
qwen_base,qwen,base,arousal,0.3333333333333333,0.0,0.9622923415403074,0.0060221116743237
qwen_base,qwen,base,valence,0.3703703703703703,0.0,0.9572372153448528,0.0620781463870908
qwen_base,qwen,base,arousal,0.3703703703703703,0.0,0.9572372153448528,0.0194252733165661
qwen_base,qwen,base,valence,0.4074074074074074,0.0,0.9535243283661956,0.0918215217935521
qwen_base,qwen,base,arousal,0.4074074074074074,0.0,0.9535243283661956,0.030744569889361
qwen_base,qwen,base,valence,0.4444444444444444,0.0,0.9411156985111632,0.114941179250938
qwen_base,qwen,base,arousal,0.4444444444444444,0.0,0.9411156985111632,0.0722882683683524
qwen_base,qwen,base,valence,0.4814814814814814,0.0,0.9334596131101478,0.0795932748933472
qwen_base,qwen,base,arousal,0.4814814814814814,0.0,0.9334596131101478,0.2171003333086494
qwen_base,qwen,base,valence,0.5185185185185185,0.0,0.9162507612460974,0.0693553135274143
qwen_base,qwen,base,arousal,0.5185185185185185,0.0,0.9162507612460974,0.1158808360902898
qwen_base,qwen,base,valence,0.5555555555555556,0.0,0.8996239339644049,0.5900627444659102
qwen_base,qwen,base,arousal,0.5555555555555556,0.0,0.8996239339644049,0.1411380288149886
qwen_base,qwen,base,valence,0.5925925925925926,0.0,0.8919685351412789,0.1018447267341465
qwen_base,qwen,base,arousal,0.5925925925925926,0.0,0.8919685351412789,0.1779545092602223
qwen_base,qwen,base,valence,0.6296296296296297,0.0,0.8870643242521027,0.0958743742126883
qwen_base,qwen,base,arousal,0.6296296296296297,0.0,0.8870643242521027,0.1078761546958799
qwen_base,qwen,base,valence,0.6666666666666666,0.0,0.8747601350036145,0.110899951807229
qwen_base,qwen,base,arousal,0.6666666666666666,0.0,0.8747601350036145,0.3500502222696237
qwen_base,qwen,base,valence,0.7037037037037037,0.0,0.8509324132768663,0.1929663925315501
qwen_base,qwen,base,arousal,0.7037037037037037,0.0,0.8509324132768663,0.4352833932209069
qwen_base,qwen,base,valence,0.7407407407407407,0.0,0.8311154819219413,0.1920286998671173
qwen_base,qwen,base,arousal,0.7407407407407407,0.0,0.8311154819219413,0.2794366374878645
qwen_base,qwen,base,valence,0.7777777777777778,0.0,0.806352216838194,0.0930093201467726
qwen_base,qwen,base,arousal,0.7777777777777778,0.0,0.806352216838194,0.0700520982097897
qwen_base,qwen,base,valence,0.8148148148148148,0.0,0.8060375042563788,0.0637572518763041
qwen_base,qwen,base,arousal,0.8148148148148148,0.0,0.8060375042563788,0.108338856337617
qwen_base,qwen,base,valence,0.8518518518518519,0.0,0.811776238841236,0.0547570023211521
qwen_base,qwen,base,arousal,0.8518518518518519,0.0,0.811776238841236,0.087502020235888
qwen_base,qwen,base,valence,0.8888888888888888,0.0,0.8135728698997189,0.0247271088931717
qwen_base,qwen,base,arousal,0.8888888888888888,0.0,0.8135728698997189,0.023725282792167
qwen_base,qwen,base,valence,0.925925925925926,0.0,0.8166472571749782,0.0189049231639819
qwen_base,qwen,base,arousal,0.925925925925926,0.0,0.8166472571749782,0.0466012889494255
qwen_base,qwen,base,valence,0.9629629629629628,0.0,0.8167251145639476,0.0081945005032139
qwen_base,qwen,base,arousal,0.9629629629629628,0.0,0.8167251145639476,0.0536843716537402
qwen_base,qwen,base,valence,1.0,0.0,0.820970211433439,0.0030584245957676
qwen_base,qwen,base,arousal,1.0,0.0,0.820970211433439,0.0250604520172977
qwen_instruct,qwen,instruct,valence,0.0,0.0,0.9347286186221104,0.0867095050257799
qwen_instruct,qwen,instruct,arousal,0.0,0.0,0.9347286186221104,0.0077958504729207
qwen_instruct,qwen,instruct,valence,0.037037037037037,0.0,0.9271106967882414,0.11692063880943
qwen_instruct,qwen,instruct,arousal,0.037037037037037,0.0,0.9271106967882414,0.0395377842491704
qwen_instruct,qwen,instruct,valence,0.074074074074074,0.0,0.6969198854699566,-0.0069603416694989
qwen_instruct,qwen,instruct,arousal,0.074074074074074,0.0,0.6969198854699566,0.0130454421809558
qwen_instruct,qwen,instruct,valence,0.1111111111111111,0.0,0.8437129065955533,0.0775482633464241
qwen_instruct,qwen,instruct,arousal,0.1111111111111111,0.0,0.8437129065955533,0.0659834250478144
qwen_instruct,qwen,instruct,valence,0.1481481481481481,0.0,0.8629256112817265,0.0193899708608541
qwen_instruct,qwen,instruct,arousal,0.1481481481481481,0.0,0.8629256112817265,0.0564130321088491
qwen_instruct,qwen,instruct,valence,0.1851851851851851,0.0,0.8868049304019134,0.0523213970393187
qwen_instruct,qwen,instruct,arousal,0.1851851851851851,0.0,0.8868049304019134,0.0366449038309664
qwen_instruct,qwen,instruct,valence,0.2222222222222222,0.0,0.9149025328795466,0.0293047460994319
qwen_instruct,qwen,instruct,arousal,0.2222222222222222,0.0,0.9149025328795466,0.0383068947925808
qwen_instruct,qwen,instruct,valence,0.2592592592592592,0.0,0.9138713732762666,0.0402572580428665
qwen_instruct,qwen,instruct,arousal,0.2592592592592592,0.0,0.9138713732762666,0.0218372397545275
qwen_instruct,qwen,instruct,valence,0.2962962962962963,0.0,0.9278063232244336,0.0326016520687827
qwen_instruct,qwen,instruct,arousal,0.2962962962962963,0.0,0.9278063232244336,0.0862739627509826
