id,component,orig_Ev,patched_Ev,rand_Ev,wd_inst_base,wd_patch_base,wd_rand_base,delta_Ev_patch,delta_Ev_rand,delta_WD_patch,delta_WD_rand,orig_prob_5,patched_prob_5,rand_prob_5
B-ecstasy-d2-v1,res_16,5.73828125,5.7734375,5.7734375,0.6851637670129731,0.6923583503727724,0.6964977096288975,0.03515625,0.03515625,0.007194583359799278,0.011333942615924353,0.10150146484375,0.0965576171875,0.0966796875
B-loathing-d3-v1,res_16,2.615234375,2.630859375,2.607421875,1.8805413641405555,1.8643543321775868,1.8878952650813172,0.015625,-0.0078125,-0.016187031962968668,0.007353900940761715,0.033782958984375,0.035400390625,0.033294677734375
B-amazement-d1-v2,res_16,6.0546875,6.08984375,5.96875,1.304417807759631,1.3531733664360792,1.2521505354378388,0.03515625,-0.0859375,0.04875555867644832,-0.05226727232179207,0.07159423828125,0.068603515625,0.072998046875
B-amazement-d3-v1,res_16,7.69921875,7.68359375,7.6640625,2.0759541910517685,2.042683747396382,2.027124698253385,-0.015625,-0.03515625,-0.03327044365538656,-0.048829492798383445,0.00829315185546875,0.00809478759765625,0.00946807861328125
B-vigilance-d1-v1,res_16,4.35546875,4.390625,4.3203125,0.7521598953635,0.7354797414981615,0.7843947084494804,0.03515625,-0.03515625,-0.0166801538653385,0.03223481308598042,0.12225341796875,0.12054443359375,0.12005615234375
B-vigilance-d3-v2,res_16,4.0234375,4.0859375,3.943359375,0.886146119454474,0.8477352756806334,0.9662724729207505,0.0625,-0.080078125,-0.03841084377384052,0.0801263534662765,0.1112060546875,0.11163330078125,0.10308837890625
Bm-grief-d1-v1,res_16,5.8828125,5.92578125,5.97265625,0.8384173731317909,0.8449153315040951,0.8702203663702495,0.04296875,0.08984375,0.006497958372304269,0.03180299323845859,0.1065673828125,0.10296630859375,0.10107421875
Bm-grief-d2-v1,res_16,3.033203125,3.05078125,3.017578125,0.9817722061068461,0.9475152323327193,0.9720297351579481,0.017578125,-0.015625,-0.03425697377412684,-0.009742470948898019,0.062042236328125,0.064208984375,0.060577392578125
Bm-grief-d3-v1,res_16,5.54296875,5.5625,5.6015625,1.0454911905656843,1.0309006707965322,1.0567871917316745,0.01953125,0.05859375,-0.014590519769152044,0.011296001165990166,0.1641845703125,0.159912109375,0.168701171875
Bm-terror-d2-v1,res_16,5.2734375,5.3046875,5.3046875,1.0194060454202645,1.0272351864643359,1.0272351864643359,0.03125,0.03125,0.007829141044071397,0.007829141044071397,0.1595458984375,0.155517578125,0.155517578125
Bm-ecstasy-d2-v1,res_16,5.6328125,5.6640625,5.70703125,1.1989097507379678,1.2418415385912258,1.283830001761972,0.03125,0.07421875,0.04293178785325802,0.08492025102400413,0.1014404296875,0.09820556640625,0.10150146484375
Bm-loathing-d3-v1,res_16,1.998046875,1.9755859375,1.927734375,1.6048530256568623,1.6275350321069642,1.675520860805644,-0.0224609375,-0.0703125,0.022682006450101877,0.07066783514878172,0.00891876220703125,0.00914764404296875,0.00746917724609375
Bm-amazement-d1-v2,res_16,7.29296875,7.26953125,7.2578125,1.5978297552835814,1.5726188212061705,1.560168601950247,-0.0234375,-0.03515625,-0.02521093407741093,-0.03766115333333442,0.0091552734375,0.00907135009765625,0.00943756103515625
Bm-amazement-d3-v1,res_16,5.74609375,5.78515625,5.6953125,1.0085849257002484,1.0644139070271676,0.9791394365720976,0.0390625,-0.05078125,0.05582898132691927,-0.029445489128150815,0.1107177734375,0.107666015625,0.10894775390625
Bm-vigilance-d1-v1,res_16,5.81640625,5.85546875,5.84765625,1.1429910447733191,1.1874802026397366,1.186189659036012,0.0390625,0.03125,0.044489157866417495,0.04319861426269278,0.1478271484375,0.13916015625,0.1494140625
Bm-vigilance-d3-v2,res_16,4.89453125,4.91015625,4.90625,0.7767114963009526,0.7671463050722089,0.7667025822891843,0.015625,0.01171875,-0.009565191228743664,-0.010008914011768288,0.185791015625,0.185546875,0.1832275390625
N-grief-d1-c1,res_16,6.48046875,6.48828125,6.515625,1.4010193604616306,1.4224989790676161,1.4524606432529428,0.0078125,0.03515625,0.021479618605985573,0.051441282791312215,0.07177734375,0.07037353515625,0.0677490234375
