model,family,alignment,axis,layer,relative_depth,within_reader_r2,within_self_r2,cross_r_to_s,cross_s_to_r,direct_mean,rsa,aligned_r2,alignment_gain
olmo_base,olmo,base,arousal,5,0.3333333333333333,-1.6437227567742916,-1.72096473288596,-6.550537614740024,-10.724354555210285,0.0,0.9698122079349114,0.0026009706059451,0.0449937852292412
olmo_base,olmo,base,valence,6,0.4,-0.6008298637379059,-0.467105766254059,-7.1326368750612925,-5.698142036581818,0.0,0.9663789955658904,0.1476356083701592,0.0779741978465407
olmo_base,olmo,base,arousal,6,0.4,-1.651027216244199,-1.5160517195651355,-16.42758153417077,-6.954672483624061,0.0,0.9663789955658904,-0.0038099799196777,0.1164637409935693
olmo_base,olmo,base,valence,7,0.4666666666666667,-0.4859921628759562,-0.4521513976813183,-3.3176329473035,-6.223329199113073,0.0,0.9668661603169284,0.3633354066310245,0.0923785491121558
olmo_base,olmo,base,arousal,7,0.4666666666666667,-1.1115499280958088,-1.5351891111171772,-5.062900362300032,-12.00337924610953,0.0,0.9668661603169284,0.0519489781618016,0.0639926765403338
olmo_base,olmo,base,valence,8,0.5333333333333333,-0.5573683931640367,-0.5091441566521246,-7.134044114227235,-1.917504673857212,0.0,0.9279010661058515,0.3415365469442087,0.1125726022888303
olmo_base,olmo,base,arousal,8,0.5333333333333333,-1.6259767736211654,-1.321102195039204,-7.523462931508222,-12.791525128349427,0.0,0.9279010661058515,0.0573139252722583,0.2699322511110922
olmo_base,olmo,base,valence,9,0.6,-0.4244589210268077,-0.37629939240329,-12.775895922019668,-3.871924730130038,0.0,0.9009214416447808,0.3483026450417458,0.3001445396663799
olmo_base,olmo,base,arousal,9,0.6,-1.435594738085506,-1.3946002880702486,-9.700966198628484,-39.854435940791646,0.0,0.9009214416447808,0.0857248664689007,0.3788881761369533
olmo_base,olmo,base,valence,10,0.6666666666666666,-0.531226706077836,-0.2469357299865071,-9.145984488692427,-4.107753173631332,0.0,0.8928100048279909,0.3196237267376119,0.3001962526730581
olmo_base,olmo,base,arousal,10,0.6666666666666666,-1.6155282157770992,-1.175502406824707,-16.326204429828064,-8.036114938639026,0.0,0.8928100048279909,0.0613912053923414,0.2083175435082666
olmo_base,olmo,base,valence,11,0.7333333333333333,-0.7096592798646855,-0.2341174710533373,-8.321101061519286,-1.4367431055574111,0.0,0.8662655453622079,0.3892522092327923,0.7072845866692077
olmo_base,olmo,base,arousal,11,0.7333333333333333,-1.4173081671035588,-1.3655644181695887,-44.4418455887508,-13.460740933828944,0.0,0.8662655453622079,0.0776949714958857,0.2674389765867907
olmo_base,olmo,base,valence,12,0.8,-0.632999075842575,-0.2273401297992026,-8.953617717396519,-5.628345187420911,0.0,0.8206021704882842,0.3621924816155191,0.5165987128844343
olmo_base,olmo,base,arousal,12,0.8,-1.39558861147691,-1.563159446648446,-23.71094138976575,-9.917605045521151,0.0,0.8206021704882842,0.0453107932511832,0.2095638927397621
olmo_base,olmo,base,valence,13,0.8666666666666667,-0.4327890809607637,-0.3226766786494102,-3.915924331557699,-3.875784031221893,0.0,0.7853025257939712,0.3774070047207626,0.1566954642086139
olmo_base,olmo,base,arousal,13,0.8666666666666667,-1.2317115783546897,-1.4013781702728214,-42.20685917307624,-13.503494007259176,0.0,0.7853025257939712,0.0697216130168379,0.1977158309405496
olmo_base,olmo,base,valence,14,0.9333333333333332,-0.4120303395691969,-0.2801494948341159,-2.3641465211009014,-3.0658696839164907,0.0,0.7941844568980099,0.4227932041618731,0.0715068065705069
olmo_base,olmo,base,arousal,14,0.9333333333333332,-1.3231407997475442,-1.8125324735540471,-16.638190380569824,-6.298522209731871,0.0,0.7941844568980099,0.075384559270807,0.0691080800860479
olmo_base,olmo,base,valence,15,1.0,-0.5032100304562073,-0.621077032713026,-1.978528773567653,-1.9671405594564704,0.0,0.8061658189640897,0.410685029703273,0.0164909429251199
olmo_base,olmo,base,arousal,15,1.0,-1.5649462580572684,-1.6424668960373023,-10.745068083493074,-4.8142165964606765,0.0,0.8061658189640897,0.0678158030534098,0.0243101036897982
olmo_instruct,olmo,instruct,valence,0,0.0,-1.0222157307414657,-1.209712907606436,-3.6674503639964833,-1.751648843487566,0.0,0.9748240767635596,0.0889112887971692,0.0386816022601497
olmo_instruct,olmo,instruct,arousal,0,0.0,-1.7005688685136402,-1.5515395026307637,-3.649274209579015,-1.5370030494122973,0.0,0.9748240767635596,-0.0009148901814755,0.0110491447012208
olmo_instruct,olmo,instruct,valence,1,0.0666666666666666,-1.1084078930725898,-0.903704490528184,-2.885110048720665,-1.548776693404525,0.0,0.9692059629208848,0.0941988410176485,0.0270349612554344
olmo_instruct,olmo,instruct,arousal,1,0.0666666666666666,-1.3185904943955309,-1.1497350627925869,-2.6017635516748774,-2.241074382644911,0.0,0.9692059629208848,-0.0093218474013905,0.0066871617406849
